n,value,generic_ms,simd_v2_ms,grid_2row_ms,grid_4row_ms,grid_8row_ms,timestamp
3,4.7,0.0,0.0,1.76,1.83,3.56,837497784907000
5,4.7,0.0,0.0,3.61,2.66,2.94,837497784907000
7,4.7,0.0,0.01,5.27,4.41,4.85,837497784907000
10,4.7,0.03,5.12,6.11,9.59,6.53,837497784907000
12,4.7,0.11,6.12,9.6,8.91,5.91,837497784907000
15,4.7,1.1,7.23,7.92,8.39,9.76,837497784907000
17,4.7,4.96,15.36,12.09,10.57,15.14,837497784907000
20,4.7,52.48,42.42,22.08,32.1,46.17,837497784907000
22,4.7,240.14,126.38,86.38,78.52,149.45,837497784907000
24,4.7,928.09,477.7,378.98,291.53,407.25,837497784907000
25,4.7,1920.63,880.96,778.19,673.51,808.33,837497784907000
27,4.7,8420.19,3420.69,3307.0,2330.97,2929.74,837497784907000
