n,value,swap,pure_v2_ms,pure_v3_ms,hybrid_ms,timestamp
10,4.7,True,1.81,0.38,0.86,816038153903000
10,4.7,False,0.55,0.83,1.84,816038153903000
15,4.7,True,3.32,1.99,2.12,816038153903000
15,4.7,False,2.5,11.96,7.64,816038153903000
20,4.7,True,166.01,174.29,202.86,816038153903000
20,4.7,False,203.85,193.77,120.47,816038153903000
25,4.7,True,3881.69,2795.0,2937.98,816038153903000
25,4.7,False,3212.8,2545.66,1952.41,816038153903000
27,4.7,True,8426.12,6367.7,6968.77,816038153903000
27,4.7,False,7252.46,5866.54,6019.93,816038153903000
