n,scalar,simd,simd_fused,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,qiskit_r_o3,timestamp
3,0.0,0.0,0.02,0.04,0.0,0.0,0.05,0.01,1.29,2026_01_12__21_46_42__78402463
5,0.0,0.0,0.04,0.09,0.01,0.01,0.11,0.1,0.92,2026_01_12__21_46_42__78402463
7,0.01,0.01,0.09,0.19,0.01,0.02,0.18,0.17,1.14,2026_01_12__21_46_42__78402463
9,0.04,0.02,0.17,0.3,0.02,0.04,0.36,0.19,1.58,2026_01_12__21_46_42__78402463
11,0.15,0.06,0.37,0.47,0.07,0.08,0.57,0.27,2.36,2026_01_12__21_46_42__78402463
13,0.74,0.23,1.04,0.85,0.23,0.22,0.63,0.49,3.46,2026_01_12__21_46_42__78402463
15,3.59,1.13,4.21,1.04,1.57,1.3,1.05,0.66,9.32,2026_01_12__21_46_42__78402463
17,17.61,5.26,14.93,2.33,6.82,5.8,2.0,1.4,15.61,2026_01_12__21_46_42__78402463
19,85.71,25.14,64.63,9.46,31.23,25.91,6.74,5.61,38.52,2026_01_12__21_46_42__78402463
21,,,,46.06,,,44.83,35.73,142.43,2026_01_12__21_46_42__78402463
23,,,,239.68,,,240.05,194.2,562.73,2026_01_12__21_46_42__78402463
25,,,,1064.22,,,1050.39,822.66,2407.1,2026_01_12__21_46_42__78402463
