n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.06,0.0,0.01,0.06,0.01,0.01,0.08,0.04,2026_02_06__22_29_28__80968442
8,full,0.03,0.21,0.02,0.02,0.28,0.02,0.04,0.27,0.22,2026_02_06__22_29_28__80968442
9,prep,0.01,0.09,0.01,0.01,0.08,0.01,0.01,0.09,0.05,2026_02_06__22_29_28__80968442
9,full,0.04,0.26,0.03,0.04,0.42,0.03,0.05,0.34,0.22,2026_02_06__22_29_28__80968442
10,prep,0.02,0.1,0.01,0.01,0.09,0.01,0.01,0.1,0.05,2026_02_06__22_29_28__80968442
10,full,0.08,0.32,0.04,0.06,0.33,0.05,0.07,0.37,0.25,2026_02_06__22_29_28__80968442
12,prep,0.08,0.13,0.03,0.05,0.13,0.03,0.03,0.12,0.06,2026_02_06__22_29_28__80968442
12,full,0.35,0.59,0.13,0.23,0.57,0.13,0.14,0.6,0.31,2026_02_06__22_29_28__80968442
14,prep,0.37,0.32,0.14,0.22,0.2,0.16,0.11,0.28,0.15,2026_02_06__22_29_28__80968442
14,full,1.67,1.39,0.56,1.15,0.92,0.54,0.44,0.79,0.49,2026_02_06__22_29_28__80968442
16,prep,1.67,0.74,0.63,0.97,0.37,0.69,0.46,0.3,0.2,2026_02_06__22_29_28__80968442
16,full,8.18,3.63,2.52,5.53,1.52,2.4,1.8,1.45,0.8,2026_02_06__22_29_28__80968442
18,prep,7.37,2.85,2.84,4.46,1.35,3.12,2.29,0.66,0.45,2026_02_06__22_29_28__80968442
18,full,39.69,14.66,11.68,28.38,4.94,11.08,8.85,3.37,2.49,2026_02_06__22_29_28__80968442
20,prep,33.43,12.13,13.22,20.37,5.77,14.61,10.31,2.84,2.14,2026_02_06__22_29_28__80968442
20,full,192.98,63.32,59.22,142.06,17.66,57.7,41.37,13.11,11.12,2026_02_06__22_29_28__80968442
22,prep,,,61.46,,30.4,66.94,45.14,24.65,16.8,2026_02_06__22_29_28__80968442
22,full,,,304.31,,114.46,302.01,195.18,105.72,82.7,2026_02_06__22_29_28__80968442
24,prep,,,273.54,,122.66,296.97,201.13,107.81,74.85,2026_02_06__22_29_28__80968442
24,full,,,1520.7,,510.02,1541.48,950.3,482.24,372.19,2026_02_06__22_29_28__80968442
